Employee Name,Time,Date,Payment,User Gender,Service Name,User Age
John Doe,10:00,2024-08-19,Paid,Male,Haircut,25
Jane Smith,11:30,2024-08-19,Pending,Female,Manicure,30
Mike Johnson,14:00,2024-08-18,Paid,Male,Massage,40
Anna Lee,15:45,2024-08-18,Pending,Female,Pedicure,22
Emily Davis,09:15,2024-08-19,Pending,Female,Hair Color,35
David Brown,16:00,2024-08-17,Paid,Male,Haircut,29
Laura Wilson,12:00,2024-08-17,Paid,Female,Facial,28
Heshan Kavinda,09:00:00,2024-08-18,Pending,Male,Mens Hair Cutting,24
Heshan Kavinda,10:00:00,2024-08-21,pending,Male,Mens Hair Cutting,24
Heshan Kavinda,09:00:00,2024-08-21,paid,Male,Beard Styling,24
Heshan Kavinda,09:00:00,2024-08-18,Pending,Male,Mens Hair Cutting,24
Heshan Kavinda,10:00:00,2024-08-21,pending,Male,Mens Hair Cutting,24
Heshan Kavinda,09:00:00,2024-08-21,paid,Male,Beard Styling,24
Heshan Kavinda,09:00:00,2024-08-18,Pending,Male,Mens Hair Cutting,24
